name,provider,level,field,destination,link,description,diaspora_relevant,amount_note,deadline_note
All Fields,Pan-Africa,20000,Rolling,https://mastercardfdn.org/scholars, meals, and stipend. Strong alumni network.,No,Varies — verify at provider, accommodation (typical — verify at provider for current cycle)
All Fields,Multiple,15000,March 31,https://akdn.org/aga-khan-foundation/scholarships,,,,Varies — verify at provider,Rolling / varies — verify at provider
All Fields,United Kingdom,30000,November 1,https://chevening.org, flights, and visa. One year program with alumni network access.,Yes,Varies — verify at provider, living allowance (typical — verify at provider for current cycle)
All Fields,United Kingdom,28000,October 15,https://cscuk.fcdo.gov.uk,,,,Varies — verify at provider,Rolling / varies — verify at provider
STEM/Social Sciences,Germany,15000,October 31,https://daad.de,,,,Varies — verify at provider,Rolling / varies — verify at provider
All Fields,Kenya,5000,March 31,https://scholarships.go.ke,,,,Varies — verify at provider,Rolling / varies — verify at provider
All Fields,United States,20000,November 15,https://aauw.org/resources/programs/fellowships,,,,Varies — verify at provider,Rolling / varies — verify at provider
Development/Economics,Multiple,25000,February 1,https://worldbank.org/scholarships,,,,Varies — verify at provider,Rolling / varies — verify at provider
All Fields,United Kingdom,45000,October 12,https://gatescambridge.org,,,,Varies — verify at provider,Rolling / varies — verify at provider
Governance/Leadership,United Kingdom,32000,January 31,https://mo.ibrahim.foundation/scholarships,,,,Varies — verify at provider,Rolling / varies — verify at provider
Computer Science,Pan-Africa,6000,March 1,https://buildyourfuture.withgoogle.com/scholarships,,,,Varies — verify at provider,Rolling / varies — verify at provider
All Fields,Kenya,3000,January 15,https://equitygroupfoundation.com/wings-to-fly,No,,,Varies — verify at provider, and university. Must be identified by school. (typical — verify at provider for current cycle)
All Fields,Kenya,4000,February 28,https://kcbfoundation.org,,,,Varies — verify at provider,Rolling / varies — verify at provider
Varies by year,United Kingdom,14000,February 1,https://britishcouncil.org/great-scholarships,,,,Varies — verify at provider,Rolling / varies — verify at provider
Specific fields,Netherlands,30000,March 15,https://nuffic.nl/en/subjects/orange-knowledge-programme,Yes,,,Varies — verify at provider, travel and living costs. (typical — verify at provider for current cycle)
Social Sciences/Law,Germany,18000,October 30,https://kas.de/en/scholarships, and humanities postgraduate studies.,Yes,,Varies — verify at provider, law (typical — verify at provider for current cycle)
Engineering/Sciences,France/Multiple,10000,April 30,https://totalenergiesfoundation.org,,,,Varies — verify at provider,Rolling / varies — verify at provider
Development/Economics,Japan,22000,March 31,https://afdb.org/en/topics-and-sectors/initiatives-partnerships/african-development-bank-scholarships,,,,Varies — verify at provider,Rolling / varies — verify at provider
All Fields,Kenya/United States,5000,January 31,https://kenyaeducationfund.org,,,,Varies — verify at provider,Rolling / varies — verify at provider
Development/Youth,Multiple,8000,Rolling,https://unicef.org,,,,Varies — verify at provider,Rolling / varies — verify at provider
STEM,Kenya,5500,April 15,https://safaricomfoundation.org,,,,Varies — verify at provider,Rolling / varies — verify at provider
All Fields,Pan-Africa,12000,April 30,https://au.int/scholarships,,,,Varies — verify at provider,Rolling / varies — verify at provider
Vocational/Academic,Global,30000,March 15,https://rotary.org/en/our-programs/scholarships,,,,Varies — verify at provider,Rolling / varies — verify at provider
Skills Development,Pan-Africa,3000,Rolling,https://mastercardfdn.org/programs, and entrepreneurship.,Yes,,Varies — verify at provider, technology (typical — verify at provider for current cycle)
Gender/Peace,Multiple,10000,June 30,https://unwomen.org/scholarships,,,,Varies — verify at provider,Rolling / varies — verify at provider
